id,author,date,text,likes,reply_count,is_reply
UgyDaegI4nlyU3VPtwN4AaABAg,@ferryirwandi,2024-10-10T09:02:59Z,"hallo warga sipil sekalian, selamat menonton",4961,353,False
UgyDaegI4nlyU3VPtwN4AaABAg.A9PXST3-y1GA9PXVwN07dK,@KaebyDS,2024-10-10T09:03:28Z,Selamat makan,42,0,True
UgyDaegI4nlyU3VPtwN4AaABAg.A9PXST3-y1GA9PXXECSUqA,@raditt.27579,2024-10-10T09:03:38Z,okr,16,0,True
UgyDaegI4nlyU3VPtwN4AaABAg.A9PXST3-y1GA9PXdPOTaZ3,@hirumayoichi2625,2024-10-10T09:04:37Z,Bagaimana pendapat Bang Ferry tentang kegiatan 14 Oktober?,13,0,True
UgyDaegI4nlyU3VPtwN4AaABAg.A9PXST3-y1GA9PXzT80NlM,@muhammadprajawanto8749,2024-10-10T09:07:38Z,Akan ada the people power,6,0,True
UgyDaegI4nlyU3VPtwN4AaABAg.A9PXST3-y1GA9PYOrPLXZX,@Windows10000,2024-10-10T09:11:14Z,Nyimak bang fery,1,0,True
UgzSwLBplInzzzbPlxZ4AaABAg,@ssrap12,2025-08-09T10:30:32Z,Itu karna gizi anak anak di Indonesia,0,0,False
UgynK2eowHW2wS11kah4AaABAg,@hargodumilah607,2025-08-05T23:44:37Z,"saya di solo, di tengah kota. disekitar tmpt tinggal sy tidak ada sma yg bisa masuk zona wilayah sy. sebagian besar sma berkumpul di wilayah trtentu..bener2 sistem yg kacau balau",0,0,False
UgzbEe1EEyut3XtJiNp4AaABAg,@cokiaja1969,2025-08-05T07:54:41Z,"Rombongan PKI sejak 2014 mulai program pembodohan nasional dan sangat berhasil, rakyat sebodoh2nya hutang sebesar2nya, selamat atas prestasinya ya...",0,0,False
Ugw_jD0QBkrePes2OzB4AaABAg,@muhammadibnuridjalazmi8169,2025-08-05T05:24:28Z,keputusan yang menghancurkan generasi penerus 😂,0,0,False
UgwbWUIP0AXdDnSN8054AaABAg,@tubyharsanto9425,2025-08-05T04:10:24Z,"Jaman dulu sekolah di lempar penghapus,di pukul pake penggaris klo lapor ortu malah makin di hajar😂 skrg lapor ortu malah malah ortu lapor ke polisi 😂",0,0,False
UgynNQcVVvCbluuM7W94AaABAg,@cenel-dw9ld,2025-08-05T01:57:40Z,Rusaknya Pendidikan Indonesia sejak Menteri Pendidikan dijabat oleh Anis Baswedan dan Nandim Makarim.,0,0,False
UgxtHqD78cIdM_Ae2f14AaABAg,@usamahibrahim4961,2025-08-04T03:48:37Z,bjirr bahkan di rumah gak belajar? aku sampe kena pukul gak mau belajar dirumah njir wkwk,0,0,False
Ugyo8tCfYa1c_ywmzw14AaABAg,@Riazuplaymate,2025-08-04T01:47:41Z,11:44 masa anak gw testing di kasih tau jawaban di grub WA kan tolol,0,0,False
UgwJWfgfxCBcLM9-vF14AaABAg,@rahmadjatifurniture2486,2025-08-04T00:22:31Z,"Inilah pembodohan yang di rencanakan oleh elit global dalam pendidikan, karna kecerdasan mengancam mereka",0,0,False
UgzWF5zClHuhvC-1eqp4AaABAg,@AlifBalina,2025-08-03T15:11:35Z,"Kalau sampai sma nggak bisa baca itu artinya otak anak tersebut ada gangguan yg dikalangan neurosainstis disebut disleksia ,ada bagian diotak prefrotal cortex yg bermasalah mau dengan sistem pembelajaran apapun anak yg menderita disleksia akan tetap kesulitan membaca ,semisal kita memaksa dan melatih orang buta untuk dapat melihat selamanya orang buta tersebut tidak akan dapat melihat sampai kita mencari akar masalah penyakit butanya lalu mengobati dengan pengobatan yg tepat ....

membaca sebenarnya suatu hal yg mudah dilakukan oleh anak umur 9 tahun keatas dengan catatan otak anak tersebut normal ...anak saya sampai umur 8 tahun tidak pernah diajarkan membaca dan menulis dan tidak dimasukkan paud ..tapi langsung ke sd ...hanya beberapa bulan semua anak anakku sudah bisa membaca dan menulis ...",0,0,False
UgwR4hibIrvrAG8iGLt4AaABAg,@syeez_zyyx,2025-08-03T13:14:14Z,"Gw terkadang heran gitu sama Siswa SMA,SMK padahal mereka udh termasuk usia dewasa atau remaja akhir tapi mereka belum bisa bedain mana yg bner dan yg Salah.
Misal ny nih udh tau PACARAN itu  (bgi yg beragama Islam) haram tapi mereka Klo dibilangin suka NYOLOT.

Sistem pendidikan apa ini 🥲.",1,0,False
UgwxnZGgTySpiHGvN1d4AaABAg,@pandapotansimbolon-xu3jd,2025-08-02T12:46:52Z,1:10 gw pikir gw yg paling idiot😅,0,0,False
UgzMjyB_UgTC6UQv9DJ4AaABAg,@AgniaRifadatul30,2025-08-02T04:13:11Z,"Seperti sekolah smp di kota gw ada kecamatan yg smp negeri nya banyak sekitar ada 7 smp negeri mana letak nya deketan, dan tergolong kecamatan yg kecil di bandingkan kecamatan yg gw tinggalin sekarang, mana di kecamatan gw tinggal punya 1 satu smp dan sma negeri mana letaknya deket perbatasan kota dan kabupaten",0,0,False
Ugzg3OdM8hEzg5GgGIt4AaABAg,@Redstars4311ch,2025-08-01T15:10:26Z,Bang ke SMA 22 Surabaya mau ketemu sama diskusi,0,0,False
Ugy2Xpx67YolQr4-pkV4AaABAg,@EkiGuntoro-d5r,2025-08-01T04:21:58Z,Maaf banget sekedar saran aja bang.. boleh ga kalo ngontennya ga sambil ngerokok? Skali lagi maaf banget🙏,0,0,False
UgxWYqePHo5fLhfu2pR4AaABAg,@DaffaAryaSatya-z5i,2025-07-31T04:33:10Z,"Laminating ijasah 60k di paket b .. anak anak nya kebanyakan gk mampu termasuk gw 
.
Dan gw Suka ngoding tapi karn stress depresi saya ningalin hal itu saya menyesal harus mulai dari awal dan Malah milih pelarian bukan pelayaran 😂",0,0,False
UgwB9wcNVN-QO1JwI7p4AaABAg,@sultanhabibmuhammad,2025-07-31T03:25:36Z,"Mau bagaimana lagi? Dari dulu juga sistem pendidikan kita begitu-begitu saja. Kurikulum gonta-ganti, tapi hasilnya tetap sama: hafalan, tekanan, bukan tantangan. Bakat dan kreativitas dikorbankan demi nilai ujian. Tapi ya sudahlah, percuma juga berharap perubahan kalau yang di atas cuma sibuk rapat tanpa hasil. Kita cuma disuruh patuh, bukan berkembang.",0,0,False
UgyRvywsIjO5Upi4qRN4AaABAg,@dardaarda17,2025-07-30T23:40:37Z,Generasi 2008 jadi bahan uji coba UN emng konnnnn,0,0,False
UgwQes3kioecW-ltO6V4AaABAg,@KonsultanPraktisi-g4n,2025-07-30T08:35:58Z,"Asli sih, ini konten relate banget. Kadang kita tuh ngerasa pendidikan kita baik-baik aja karena liat dari kota-kota besar, padahal di lapangan keadaannya beda jauh. Miris denger ada anak SMP atau SMA yang masih kesulitan baca sama ngitung. Itu bukan cuma soal muridnya aja, tapi ada yang lebih dalam: sistemnya memang belum mateng.

Soal zonasi juga, jujur awalnya kelihatan keren ya—biar sekolah bagus nggak numpuk di tengah kota aja. Tapi kalau sebaran sekolah nggak merata, ya percuma. Anak-anak yang rumahnya jauh malah jadi nggak dapet akses. Ujung-ujungnya malah timbul ketimpangan baru, bukannya pemerataan.

Dan pas denger murid bilang ""di sekolah aja nggak belajar"", itu bikin sedih sih. Sekolah tuh seharusnya jadi tempat paling aman buat tumbuh dan belajar. Tapi kalau realitanya kayak gitu, ya pantes aja hasilnya makin turun tiap tahun. Harapannya sih, pemerintah baru nanti bener-bener denger suara-suara kayak gini, terus ngerombak sistemnya dari akar, bukan cuma ganti kurikulum doang.",0,0,False
Ugx3Ue6Lsrpsrp5LOip4AaABAg,@FinaCah,2025-07-28T15:41:23Z,"zonasi juga merupakan adaptasi dari negara Jepang, tapi kadang pemerintah memang tidak memikirkan dengan konsep adaptasi dari Negara Maju. Negara Maju dengan Berkembang aja sudah beda, apalagi mengadaptasi dan menerapkan yg memamng bisa jadi belum/tidak siap.",0,0,False
UgwW5Wgqr2txa-F0yMl4AaABAg,@jonojono7143,2025-07-28T14:28:20Z,B0d0hnya... di ma1aysia anak 7 tahun udah pndai kira kira.mengeja...,0,0,False
UgxcUhb7FKhLEuP9kjx4AaABAg,@nooonao,2025-07-28T05:49:52Z,anak smp ga tau angka romawi 1-10,0,0,False
UgwfcPVVeWoucMrZGRB4AaABAg,@mupurix8755,2025-07-28T00:35:00Z,"Apapun itu kalo ujung ujungnya jadi komoditas dan kapitalisasi,semua dilihat dari nilai jual bukan nilai manfaat ,pola berulang seperti hanya beda pemeran saja",0,0,False
UgzoaPSQ7rDWLEsSW_V4AaABAg,@Muslim-b8e,2025-07-27T14:09:11Z,"Sedih melihat pendidikan di negeri ini , banyak anak² tamat sma ga hapal perkalian , ga bisah baca jam analog, cara pembagian, persen ukuran meter cm mm dm , dll
Saya perna bertanya kepada guru kenapa ini bisah terjadi ? . Guru menjawab tanggung jawab kami selesai memberikan pelajaran mau bisah atau ga terserah, murid di kerasi takut ham orang tua mengadu ke polisi  .
Jaman saya dulu 3 bulan SD sudah lancar membaca , sudah pintar menghitung , kelas tiga sudah pintar perkalian pembagian , di pukul pakai kayu pakai mistar biasah saja ga ngadu , ngadu sama ortu malah di marahin lagi , jaman sekarang murid cengeng orang tua ikut cengeng 😂😂",0,0,False
UgyO3oNLP_qpSAV6D2x4AaABAg,@egasanjaya8913,2025-07-27T14:08:04Z,"Tetangga saya ada,kalo di tanya tulisan yg ada di suatu benda apa baca ny,dia jawab nama benda itu.
Contoh swalow,dia jawab ny sendal jepit😅sedih miris",0,0,False
UgyKKtjiJlT8Gle9zRF4AaABAg,@armanoja2262,2025-07-27T11:42:28Z,Sekarang mentri nya maling tetap maling tetap maling,0,0,False
UgyOTvgeiTrBIloqKAV4AaABAg,@simaksaja_1,2025-07-27T04:07:08Z,"Saya guru kelas 6 dari kurikulum kbk,KTSP,K13,kumer .kumer lebih parah gagal .TERPAKSA SAYA MENGAJAR MATERI TK ,KLS 1,2,3,4,dan kls 5. Contoh,kls 1 SD kok tidak bisa calistung dasar, pasti sampai dikelas 6 akan bermasalah.Lebih parah, tidak ada uasbn, nila rata rata raport dan kkm dipaksakan, kemerdekaan guru dan sekolah tidak ada,jumlah guru minim,banyak tugas tambahan guru yang menyita tugas utama guru.",0,0,False
Ugxh5AzXAGqReIJ0LB94AaABAg,@WidodoSunarko,2025-07-27T01:09:54Z,Ferry harusnya jadi menteri pendidikan 👍👍👍,0,0,False
UgxoXLLZVaLy2hBPigN4AaABAg,@SantoTiu,2025-07-25T04:02:36Z,"Bang keluh kesah saya selama ini, terwakilkan oleh video ini",0,0,False
UgzIh1_NRE5jg2PUpHx4AaABAg,@andyasra-nv1np,2025-07-24T16:00:17Z,Kita merdeka saja tidak belajar🙄🙄🙄,0,0,False
Ugw3eLxqvmzfY4XB32J4AaABAg,@WillyBelly,2025-07-24T14:16:13Z,bahas Tan Malaka bang,0,0,False
Ugw6i8qeyFymRWlGkrV4AaABAg,@mutiajeff199,2025-07-23T07:12:21Z,"gw kira konten anak2 skrang yang ga bisa ngitung itu cuma gimmick, ternyata gw trlalu polos dan positif think setelah ga tinggal di indonesia selama 3tahun.",0,0,False
UgzCoV4aJKlaMkCylyR4AaABAg,@ramasetiyawan8195,2025-07-21T02:34:44Z,Sistem pdidkn indo lelucon,0,0,False
UgzF7RT72BE_zAkoO594AaABAg,@MuhammadFirdaus-tz6uq,2025-07-19T07:48:33Z,"Beberapa praktisi bisnis sering bilang ""Konsep penting, tapi jauh lebih penting eksekusi"" Ibarat ekstrem ,  lebih baik kuat di eksekusi walo konsep kurang, dari pada konsep bagus tapi lemah dieksekusi. Ane pikir ini juga berlaku di banyak aspek, termasuk sistem pendidikan. 

Nah dalam konteks pendidikan di Indonesia, mau ambil konsep , tiru sistem canggih dari negara majupun, klo eksekusinya lemah, jadinya tidak mebawa hasil yg diharapkan.  Ibarat klo Indonesia tetap menggunakan sistem yg lama era bokap ane jaman Soeharto pun, kalau di eksekusi secara benar dan serius maka kualitas pendidikan di Indonesia tetap bisa baik.  

Gak usa terlalu fokus di konsep atau sistem, lakukan yg basic2x dulu:
1. Kurikulum geser dikit, gak usah banyak2x,  dari yg fokus hapalan ke problem solving oriented.
2. Kualitas guru;  fix yg underpaid,  undertrained, under-supported - bikin evaluasi teratur kualitas guru
3. Edukasi orang tua (ini yg berat)  untuk dukung budaya baca dan tanamkan kesadaran klo pendidikan penting
4. Kesetaraan socioeconomic, ini yg paling super duper berat di perbaiki,  kesenjangan sosial ekonomi antar daerah, rural urban , karena pemerintah yg korup,   memberi kontribusi kualitas pendidikan tidak rata, mungkin nunggu WW3 perang nuklir, 90% Indo punah, sisanya di daur ulang jadi ras dengan culture yg berbeda😜😀😀 

Kenapa bolak balik ganti sistem/konsep?
1. Kliatan gak nyambung, tapi check this out.  Orang Indonesia pada dasarnya insecure, butuh validasi, mau kliatan exist. Pemerintah baru, menteri baru harus sistem/konsep baru.  Biar kliatan punya something new, masterpiece, new milestone etc.  Klo cuma meneruskan atau menyempurnakan yg ada, gak kliatan ""kerja"" atau ""innovative"", mungkin itu cara  berpikirnya.
2. Percaya ""magic pill"" bisa fix all the problem,  percaya ""kemujaraban"" suatu hal. Padahal semua perlu proses panjang, bisa 3-5x masa kepemimpinan presiden.
3. Ini yg sangat sulit untuk tidak dimasukan kedalam list, ""ada sistem baru, berarti project baru, ada cuan""

Well, gak ada sistem yg sempurna, pasti ada pihak yg di untungkan dan yg dirugikan. Yg penting secara skala nasional, tujuan meningkatkan kualitas pendidikan tercapai. 

Klopun harus rubah system, lakukanlah dengan planning yg bener2x matang, jangan impulsive, kejar tayang. Ini contoh factual,   sudah diputuskan klo 2025/2026 akan ada lagi penjurusan IPA/IPS/Bahasa di SMA, tapi sampai kemaren selesai  MPLS, tidak ada kejelasan dari pihak sekolah atau pemerintah kapan penjurusan dimulai. Keponakan kelas X, sudah dibagi kelas dan wali kelas untuk 1 tahun, artinya asumsi penjurusan mulai kelas 2 (yg mana ini salah). Contoh ke 2,  atas ""kebodohan"" pemerintah yg tidak matang merubah sistem,  keponakan ane, umur muda NA tidak tinggi tidak rendah, justru jadi beruntung bisa lolos SPMB SMA Jakarta jalur domisili.  Klo murni jalur domisili HARUSnya sama dengan zonasi taun lalu, dimana seleksi berdasarkan wilayah tempat tinggal dan umur, BUKAN NILAI AKADEMIK (NA).  Lho harusnya bener dong pake unsur NA, ini kata sebagian orang. Lah klo mau pake NA khan uda ada jalur prestasi. Adil khan, yg pinter2x ambil jalur prestasi, yang kurang beruntung pinter bisa ambil jalur domisili yg murni dasarnya domisili/zona dan umur.  Ini pemerataan, semua anak punya kesempatan yg sama untuk sekolah negeri.",0,0,False
UgzZCT6Ra0FuJMhxJdl4AaABAg,@EmbunUluwatu,2025-07-18T09:43:14Z,menuju indonesia emas 2030,0,0,False
UgznHq3TEVfHM__4BSh4AaABAg,@tutorialandmusic1445,2025-07-18T02:56:04Z,Sejahterakan dulu guru,0,0,False
UgxQUCnjCRcokm2eSYh4AaABAg,@shadowrider3853,2025-07-17T16:18:12Z,Nadiem Makarim mendikbud terburuk sepanjang sejarah republik ini berdiri,0,0,False
UgzgwF7dYOsNjydXXlB4AaABAg,@tpabaiturrohmanbaiturrohma4424,2025-07-17T02:38:46Z,"La dulu masuk nya lewat Tes apa "" Kes""....
La ya nggak logis😂😂😂",0,0,False
Ugx6udWLJguKk1ruKh14AaABAg,@ZulaikahNizam-mb8kc,2025-07-17T00:54:30Z,"Di era jokowi pendidikan sangat buruk ,jokowi tidak ingin anak indonesia  pinter karena dia sendiri pendidikannya gak jelas",0,0,False
UgwMCGoJy2-gNgGi27t4AaABAg,@Kemen0720,2025-07-16T18:40:29Z,Ges moal maju Indonesia mah dak moal cek aing moal moal.,0,1,False
UgwMCGoJy2-gNgGi27t4AaABAg.AKdyKFqrOx6ALRQ_4ELgQi,@fly.Story199,2025-08-05T08:58:05Z,hese mang penurus na ge gelo gelo,0,0,True
